cara,fila,columna,color
blanco,1,1,V
blanco,1,2,B
blanco,1,3,N
blanco,2,1,N
blanco,2,2,B
blanco,2,3,R
blanco,3,1,Az
blanco,3,2,N
blanco,3,3,B
amarillo,1,1,V
amarillo,1,2,A
amarillo,1,3,A
amarillo,2,1,R
amarillo,2,2,A
amarillo,2,3,V
amarillo,3,1,V
amarillo,3,2,B
amarillo,3,3,Az
rojo,1,1,V
rojo,1,2,V
rojo,1,3,N
rojo,2,1,Az
rojo,2,2,R
rojo,2,3,N
rojo,3,1,N
rojo,3,2,B
rojo,3,3,Az
naranja,1,1,B
naranja,1,2,Az
naranja,1,3,A
naranja,2,1,A
naranja,2,2,N
naranja,2,3,V
naranja,3,1,R
naranja,3,2,R
naranja,3,3,R
verde,1,1,R
verde,1,2,B
verde,1,3,Az
verde,2,1,N
verde,2,2,V
verde,2,3,Az
verde,3,1,N
verde,3,2,Az
verde,3,3,R
azul,1,1,A
azul,1,2,A
azul,1,3,B
azul,2,1,V
azul,2,2,Az
azul,2,3,R
azul,3,1,B
azul,3,2,A
azul,3,3,A
