cara,fila,columna,id_sticker,color,codigo,distancia_celda
superior,1,1,5,naranja,N,7.13334480775223
superior,1,2,20,azul,Az,8.38637611202562
superior,1,3,7,naranja,N,10.6130145674973
superior,2,1,11,amarillo,A,5.89080245557434
superior,2,2,26,blanco,B,4.46023863478585
superior,2,3,13,amarillo,A,7.26439413759906
superior,3,1,2,rojo,R,1.52307658173756
superior,3,2,18,verde,V,1.46795697413456
superior,3,3,4,rojo,R,1.17273561102033
izquierda,1,1,24,blanco,B,1.05835005350656
izquierda,1,2,1,rojo,R,2.20545570132253
izquierda,1,3,25,blanco,B,2.57099380467373
izquierda,2,1,19,azul,Az,2.50389819991079
izquierda,2,2,15,verde,V,4.81819554660819
izquierda,2,3,21,azul,Az,7.32098061801392
izquierda,3,1,10,amarillo,A,4.6489453731493
izquierda,3,2,6,naranja,N,10.1437269919368
izquierda,3,3,12,amarillo,A,15.5345461616938
derecha,1,1,16,verde,V,3.20762694781704
derecha,1,2,8,naranja,N,2.61888494288355
derecha,1,3,23,azul,Az,1.05325147261869
derecha,2,1,27,blanco,B,7.62461491584845
derecha,2,2,3,rojo,R,6.3474276846749
derecha,2,3,14,amarillo,A,1.54727646686286
derecha,3,1,17,verde,V,10.2456829947655
derecha,3,2,9,naranja,N,7.90779633905215
derecha,3,3,22,azul,Az,2.98966517678529
