caso,cara,fila,columna,esperado,detectado,correcto
caso_001,blanco,1,1,V,V,1
caso_001,blanco,1,2,A,A,1
caso_001,blanco,1,3,N,N,1
caso_001,blanco,2,1,N,N,1
caso_001,blanco,2,2,B,B,1
caso_001,blanco,2,3,R,R,1
caso_001,blanco,3,1,V,V,1
caso_001,blanco,3,2,R,R,1
caso_001,blanco,3,3,V,V,1
caso_001,amarillo,1,1,V,V,1
caso_001,amarillo,1,2,V,V,1
caso_001,amarillo,1,3,B,B,1
caso_001,amarillo,2,1,Az,Az,1
caso_001,amarillo,2,2,A,A,1
caso_001,amarillo,2,3,R,R,1
caso_001,amarillo,3,1,B,B,1
caso_001,amarillo,3,2,Az,Az,1
caso_001,amarillo,3,3,R,R,1
caso_001,rojo,1,1,Az,Az,1
caso_001,rojo,1,2,N,N,1
caso_001,rojo,1,3,Az,Az,1
caso_001,rojo,2,1,B,B,1
caso_001,rojo,2,2,R,R,1
caso_001,rojo,2,3,A,A,1
caso_001,rojo,3,1,B,B,1
caso_001,rojo,3,2,V,V,1
caso_001,rojo,3,3,R,R,1
caso_001,naranja,1,1,B,B,1
caso_001,naranja,1,2,A,A,1
caso_001,naranja,1,3,R,R,1
caso_001,naranja,2,1,A,A,1
caso_001,naranja,2,2,N,N,1
caso_001,naranja,2,3,N,N,1
caso_001,naranja,3,1,A,A,1
caso_001,naranja,3,2,R,R,1
caso_001,naranja,3,3,Az,Az,1
caso_001,verde,1,1,N,N,1
caso_001,verde,1,2,Az,Az,1
caso_001,verde,1,3,R,R,1
caso_001,verde,2,1,Az,Az,1
caso_001,verde,2,2,V,V,1
caso_001,verde,2,3,B,B,1
caso_001,verde,3,1,A,A,1
caso_001,verde,3,2,N,N,1
caso_001,verde,3,3,Az,Az,1
caso_001,azul,1,1,N,N,1
caso_001,azul,1,2,V,V,1
caso_001,azul,1,3,N,N,1
caso_001,azul,2,1,V,V,1
caso_001,azul,2,2,Az,Az,1
caso_001,azul,2,3,B,B,1
caso_001,azul,3,1,A,A,1
caso_001,azul,3,2,B,B,1
caso_001,azul,3,3,A,A,1
caso_002,blanco,1,1,N,N,1
caso_002,blanco,1,2,V,V,1
caso_002,blanco,1,3,Az,Az,1
caso_002,blanco,2,1,B,B,1
caso_002,blanco,2,2,B,B,1
caso_002,blanco,2,3,R,R,1
caso_002,blanco,3,1,V,V,1
caso_002,blanco,3,2,A,A,1
caso_002,blanco,3,3,B,B,1
caso_002,amarillo,1,1,R,R,1
caso_002,amarillo,1,2,R,R,1
caso_002,amarillo,1,3,N,N,1
caso_002,amarillo,2,1,Az,A,0
caso_002,amarillo,2,2,A,A,1
caso_002,amarillo,2,3,V,V,1
caso_002,amarillo,3,1,B,B,1
caso_002,amarillo,3,2,A,A,1
caso_002,amarillo,3,3,A,A,1
caso_002,rojo,1,1,A,A,1
caso_002,rojo,1,2,N,N,1
caso_002,rojo,1,3,B,Az,0
caso_002,rojo,2,1,R,R,1
caso_002,rojo,2,2,R,R,1
caso_002,rojo,2,3,B,B,1
caso_002,rojo,3,1,V,V,1
caso_002,rojo,3,2,A,A,1
caso_002,rojo,3,3,N,N,1
caso_002,naranja,1,1,A,A,1
caso_002,naranja,1,2,B,B,1
caso_002,naranja,1,3,R,R,1
caso_002,naranja,2,1,V,V,1
caso_002,naranja,2,2,N,N,1
caso_002,naranja,2,3,B,B,1
caso_002,naranja,3,1,R,R,1
caso_002,naranja,3,2,Az,Az,1
caso_002,naranja,3,3,B,B,1
caso_002,verde,1,1,A,A,1
caso_002,verde,1,2,Az,Az,1
caso_002,verde,1,3,V,V,1
caso_002,verde,2,1,A,A,1
caso_002,verde,2,2,V,V,1
caso_002,verde,2,3,N,N,1
caso_002,verde,3,1,N,N,1
caso_002,verde,3,2,N,N,1
caso_002,verde,3,3,Az,Az,1
caso_002,azul,1,1,R,R,1
caso_002,azul,1,2,R,R,1
caso_002,azul,1,3,V,V,1
caso_002,azul,2,1,V,V,1
caso_002,azul,2,2,Az,Az,1
caso_002,azul,2,3,N,N,1
caso_002,azul,3,1,Az,Az,1
caso_002,azul,3,2,Az,Az,1
caso_002,azul,3,3,Az,Az,1
caso_003,blanco,1,1,V,V,1
caso_003,blanco,1,2,N,N,1
caso_003,blanco,1,3,B,B,1
caso_003,blanco,2,1,B,B,1
caso_003,blanco,2,2,B,B,1
caso_003,blanco,2,3,A,A,1
caso_003,blanco,3,1,V,V,1
caso_003,blanco,3,2,Az,Az,1
caso_003,blanco,3,3,V,V,1
caso_003,amarillo,1,1,Az,Az,1
caso_003,amarillo,1,2,R,R,1
caso_003,amarillo,1,3,V,V,1
caso_003,amarillo,2,1,V,V,1
caso_003,amarillo,2,2,A,A,1
caso_003,amarillo,2,3,Az,Az,1
caso_003,amarillo,3,1,A,A,1
caso_003,amarillo,3,2,V,V,1
caso_003,amarillo,3,3,Az,Az,1
caso_003,rojo,1,1,R,R,1
caso_003,rojo,1,2,B,B,1
caso_003,rojo,1,3,B,B,1
caso_003,rojo,2,1,B,B,1
caso_003,rojo,2,2,R,R,1
caso_003,rojo,2,3,A,A,1
caso_003,rojo,3,1,R,R,1
caso_003,rojo,3,2,N,N,1
caso_003,rojo,3,3,N,N,1
caso_003,naranja,1,1,B,B,1
caso_003,naranja,1,2,R,R,1
caso_003,naranja,1,3,Az,Az,1
caso_003,naranja,2,1,R,R,1
caso_003,naranja,2,2,N,N,1
caso_003,naranja,2,3,A,A,1
caso_003,naranja,3,1,N,N,1
caso_003,naranja,3,2,B,B,1
caso_003,naranja,3,3,Az,Az,1
caso_003,verde,1,1,A,A,1
caso_003,verde,1,2,R,R,1
caso_003,verde,1,3,A,A,1
caso_003,verde,2,1,A,A,1
caso_003,verde,2,2,V,V,1
caso_003,verde,2,3,V,V,1
caso_003,verde,3,1,N,N,1
caso_003,verde,3,2,Az,Az,1
caso_003,verde,3,3,B,B,1
caso_003,azul,1,1,R,R,1
caso_003,azul,1,2,N,N,1
caso_003,azul,1,3,A,A,1
caso_003,azul,2,1,N,N,1
caso_003,azul,2,2,Az,Az,1
caso_003,azul,2,3,V,V,1
caso_003,azul,3,1,R,R,1
caso_003,azul,3,2,Az,Az,1
caso_003,azul,3,3,N,N,1
caso_004,blanco,1,1,B,B,1
caso_004,blanco,1,2,B,B,1
caso_004,blanco,1,3,B,B,1
caso_004,blanco,2,1,B,B,1
caso_004,blanco,2,2,B,B,1
caso_004,blanco,2,3,B,B,1
caso_004,blanco,3,1,B,B,1
caso_004,blanco,3,2,B,B,1
caso_004,blanco,3,3,B,B,1
caso_004,amarillo,1,1,A,A,1
caso_004,amarillo,1,2,A,A,1
caso_004,amarillo,1,3,A,A,1
caso_004,amarillo,2,1,A,A,1
caso_004,amarillo,2,2,A,A,1
caso_004,amarillo,2,3,A,A,1
caso_004,amarillo,3,1,A,A,1
caso_004,amarillo,3,2,A,A,1
caso_004,amarillo,3,3,A,A,1
caso_004,rojo,1,1,R,R,1
caso_004,rojo,1,2,R,R,1
caso_004,rojo,1,3,R,R,1
caso_004,rojo,2,1,R,R,1
caso_004,rojo,2,2,R,R,1
caso_004,rojo,2,3,R,R,1
caso_004,rojo,3,1,R,R,1
caso_004,rojo,3,2,R,R,1
caso_004,rojo,3,3,R,R,1
caso_004,naranja,1,1,N,N,1
caso_004,naranja,1,2,N,N,1
caso_004,naranja,1,3,N,N,1
caso_004,naranja,2,1,N,N,1
caso_004,naranja,2,2,N,N,1
caso_004,naranja,2,3,N,N,1
caso_004,naranja,3,1,N,N,1
caso_004,naranja,3,2,N,N,1
caso_004,naranja,3,3,N,N,1
caso_004,verde,1,1,V,V,1
caso_004,verde,1,2,V,V,1
caso_004,verde,1,3,V,V,1
caso_004,verde,2,1,V,V,1
caso_004,verde,2,2,V,V,1
caso_004,verde,2,3,V,V,1
caso_004,verde,3,1,V,V,1
caso_004,verde,3,2,V,V,1
caso_004,verde,3,3,V,V,1
caso_004,azul,1,1,Az,Az,1
caso_004,azul,1,2,Az,Az,1
caso_004,azul,1,3,Az,Az,1
caso_004,azul,2,1,Az,Az,1
caso_004,azul,2,2,Az,Az,1
caso_004,azul,2,3,Az,Az,1
caso_004,azul,3,1,Az,Az,1
caso_004,azul,3,2,Az,Az,1
caso_004,azul,3,3,Az,Az,1
caso_005,blanco,1,1,B,B,1
caso_005,blanco,1,2,B,B,1
caso_005,blanco,1,3,B,B,1
caso_005,blanco,2,1,R,R,1
caso_005,blanco,2,2,B,B,1
caso_005,blanco,2,3,V,V,1
caso_005,blanco,3,1,N,N,1
caso_005,blanco,3,2,R,R,1
caso_005,blanco,3,3,A,A,1
caso_005,amarillo,1,1,R,R,1
caso_005,amarillo,1,2,Az,Az,1
caso_005,amarillo,1,3,A,A,1
caso_005,amarillo,2,1,Az,Az,1
caso_005,amarillo,2,2,A,A,1
caso_005,amarillo,2,3,V,V,1
caso_005,amarillo,3,1,V,V,1
caso_005,amarillo,3,2,R,R,1
caso_005,amarillo,3,3,N,N,1
caso_005,rojo,1,1,R,R,1
caso_005,rojo,1,2,A,A,1
caso_005,rojo,1,3,B,B,1
caso_005,rojo,2,1,V,V,1
caso_005,rojo,2,2,R,R,1
caso_005,rojo,2,3,B,B,1
caso_005,rojo,3,1,V,V,1
caso_005,rojo,3,2,B,B,1
caso_005,rojo,3,3,Az,Az,1
caso_005,naranja,1,1,Az,Az,1
caso_005,naranja,1,2,Az,Az,1
caso_005,naranja,1,3,V,V,1
caso_005,naranja,2,1,R,R,1
caso_005,naranja,2,2,N,N,1
caso_005,naranja,2,3,B,B,1
caso_005,naranja,3,1,A,A,1
caso_005,naranja,3,2,A,A,1
caso_005,naranja,3,3,V,V,1
caso_005,verde,1,1,N,N,1
caso_005,verde,1,2,Az,Az,1
caso_005,verde,1,3,A,A,1
caso_005,verde,2,1,A,A,1
caso_005,verde,2,2,V,V,1
caso_005,verde,2,3,N,N,1
caso_005,verde,3,1,N,N,1
caso_005,verde,3,2,N,N,1
caso_005,verde,3,3,R,R,1
caso_005,azul,1,1,B,B,1
caso_005,azul,1,2,V,V,1
caso_005,azul,1,3,Az,Az,1
caso_005,azul,2,1,A,A,1
caso_005,azul,2,2,Az,Az,1
caso_005,azul,2,3,N,N,1
caso_005,azul,3,1,Az,Az,1
caso_005,azul,3,2,N,N,1
caso_005,azul,3,3,R,R,1
caso_006,blanco,1,1,Az,Az,1
caso_006,blanco,1,2,V,V,1
caso_006,blanco,1,3,A,A,1
caso_006,blanco,2,1,R,R,1
caso_006,blanco,2,2,B,B,1
caso_006,blanco,2,3,B,B,1
caso_006,blanco,3,1,B,B,1
caso_006,blanco,3,2,A,A,1
caso_006,blanco,3,3,Az,Az,1
caso_006,amarillo,1,1,N,N,1
caso_006,amarillo,1,2,R,R,1
caso_006,amarillo,1,3,N,N,1
caso_006,amarillo,2,1,N,N,1
caso_006,amarillo,2,2,A,A,1
caso_006,amarillo,2,3,B,B,1
caso_006,amarillo,3,1,V,V,1
caso_006,amarillo,3,2,B,B,1
caso_006,amarillo,3,3,Az,Az,1
caso_006,rojo,1,1,A,A,1
caso_006,rojo,1,2,B,B,1
caso_006,rojo,1,3,B,B,1
caso_006,rojo,2,1,A,A,1
caso_006,rojo,2,2,R,R,1
caso_006,rojo,2,3,Az,Az,1
caso_006,rojo,3,1,V,V,1
caso_006,rojo,3,2,R,R,1
caso_006,rojo,3,3,B,B,1
caso_006,naranja,1,1,N,N,1
caso_006,naranja,1,2,Az,Az,1
caso_006,naranja,1,3,R,R,1
caso_006,naranja,2,1,V,V,1
caso_006,naranja,2,2,N,N,1
caso_006,naranja,2,3,N,N,1
caso_006,naranja,3,1,V,V,1
caso_006,naranja,3,2,V,V,1
caso_006,naranja,3,3,V,V,1
caso_006,verde,1,1,R,R,1
caso_006,verde,1,2,A,A,1
caso_006,verde,1,3,R,R,1
caso_006,verde,2,1,N,N,1
caso_006,verde,2,2,V,V,1
caso_006,verde,2,3,R,R,1
caso_006,verde,3,1,A,A,1
caso_006,verde,3,2,Az,Az,1
caso_006,verde,3,3,A,A,1
caso_006,azul,1,1,Az,Az,1
caso_006,azul,1,2,N,N,1
caso_006,azul,1,3,B,B,1
caso_006,azul,2,1,Az,Az,1
caso_006,azul,2,2,Az,Az,1
caso_006,azul,2,3,A,A,1
caso_006,azul,3,1,N,N,1
caso_006,azul,3,2,V,V,1
caso_006,azul,3,3,R,R,1
caso_007,blanco,1,1,A,A,1
caso_007,blanco,1,2,A,A,1
caso_007,blanco,1,3,B,B,1
caso_007,blanco,2,1,B,B,1
caso_007,blanco,2,2,B,B,1
caso_007,blanco,2,3,B,B,1
caso_007,blanco,3,1,A,A,1
caso_007,blanco,3,2,V,V,1
caso_007,blanco,3,3,N,N,1
caso_007,amarillo,1,1,N,N,1
caso_007,amarillo,1,2,Az,Az,1
caso_007,amarillo,1,3,V,V,1
