caso,estado,accuracy_global,total_stickers,correctos,incorrectos,tiempo_segundos,mensaje_error,ruta_resultados
caso_001,correcto,1,54,54,0,0.8848884,,resultados\caso_001
caso_002,correcto,0.962962962962963,54,52,2,0.4757576,,resultados\caso_002
caso_003,correcto,1,54,54,0,0.5145534,,resultados\caso_003
caso_004,correcto,1,54,54,0,0.9438026,,resultados\caso_004
caso_005,correcto,1,54,54,0,0.672507,,resultados\caso_005
caso_006,correcto,1,54,54,0,0.6557185,,resultados\caso_006
caso_007,correcto,1,54,54,0,0.72183,,resultados\caso_007
caso_008,correcto,1,54,54,0,0.732812,,resultados\caso_008
caso_009,correcto,1,54,54,0,0.729102,,resultados\caso_009
caso_010,correcto,1,54,54,0,0.6856152,,resultados\caso_010
caso_011,correcto,1,54,54,0,0.6958117,,resultados\caso_011
caso_012,correcto,1,54,54,0,0.7198873,,resultados\caso_012
caso_013,correcto,1,54,54,0,0.9168951,,resultados\caso_013
caso_014,correcto,1,54,54,0,0.6898966,,resultados\caso_014
caso_015,correcto,1,54,54,0,0.7033658,,resultados\caso_015
caso_016,correcto,1,54,54,0,0.7067799,,resultados\caso_016
caso_017,correcto,1,54,54,0,0.7568838,,resultados\caso_017
caso_018,correcto,1,54,54,0,0.7858292,,resultados\caso_018
caso_019,correcto,1,54,54,0,0.8102837,,resultados\caso_019
caso_020,correcto,1,54,54,0,0.7427584,,resultados\caso_020
